id_pedido;cantidad;fecha_limite;tipo_producto
6923937;512000;15-06-2025;A
6923937;468000;15-06-2025;A
6923937;108000;15-06-2025;A
6923003;12000;31-05-2025;A
6922862;1935360;15-06-2025;A
6922831;1935360;15-06-2025;A
6921083;512000;15-06-2025;A
6921083;468000;15-06-2025;A
6921083;108000;15-06-2025;A
6921070;1040000;15-06-2025;A
6921070;1260000;15-06-2025;A
6920113;2755200;14-06-2025;A
6920112;3360000;14-06-2025;A
6920112;72000;14-06-2025;A
6919690;36000;14-06-2025;A
6919679;36000;14-06-2025;A
6919637;3000;30-05-2025;A
6919624;6000;30-05-2025;A
6919617;1500;15-05-2025;A
6919605;16200;14-06-2025;A
6918159;76800;14-06-2025;A
6918123;1411200;14-06-2025;A
6918123;432000;14-06-2025;A
6917638;3000;30-05-2025;A
6917594;1500;15-05-2025;A
6916590;18000;14-06-2025;A
6916352;72000;14-06-2025;A
6916352;460800;14-06-2025;A
6916351;691200;14-06-2025;A
6915330;336000;13-06-2025;A
6915315;537600;13-06-2025;A
6914005;384000;13-06-2025;A
6914005;1200000;13-06-2025;A
6914005;448000;13-06-2025;A
6914005;563200;13-06-2025;A
6914005;144000;13-06-2025;A
6914005;576000;13-06-2025;A
6913802;4480000;13-06-2025;A
6913419;1680000;13-06-2025;A
6912958;230400;13-06-2025;A
6912958;72000;13-06-2025;A
6912743;384000;13-06-2025;A
6912743;720000;13-06-2025;A
6912743;360000;13-06-2025;A
6912663;3000;14-05-2025;A
6912650;600;29-05-2025;A
6912402;1840000;13-06-2025;A
6912402;192000;13-06-2025;A
6912402;2675200;13-06-2025;A
6912402;432000;13-06-2025;A
6912402;648000;13-06-2025;A
6912401;384000;13-06-2025;A
6912401;2080000;13-06-2025;A
6912401;64000;13-06-2025;A
6912401;704000;13-06-2025;A
6911637;216000;12-06-2025;A
6910324;10800;12-06-2025;A
6910324;7200;12-06-2025;A
6910324;14400;12-06-2025;A
6910301;201600;12-06-2025;A
6910301;504000;12-06-2025;A
6908108;12000;27-05-2025;A
6907069;16200;11-06-2025;A
6905230;940800;11-06-2025;A
6905230;216000;11-06-2025;A
6904003;72000;11-06-2025;A
6904002;76800;11-06-2025;A
6904001;1040000;11-06-2025;A
6904001;512000;11-06-2025;A
6904001;468000;11-06-2025;A
6904001;1368000;11-06-2025;A
6904000;384000;11-06-2025;A
6904000;5680000;11-06-2025;A
6904000;448000;11-06-2025;A
6904000;563200;11-06-2025;A
6904000;144000;11-06-2025;A
6904000;576000;11-06-2025;A
