id_pedido;cantidad;fecha_limite;tipo_producto
17193580;12000;20-05-2025;A
17193547;12000;20-05-2025;A
17193531;15000;20-05-2025;A
17188288;1337600;04-06-2025;A
17188289;144000;04-06-2025;A
17188290;756000;04-06-2025;A
17188148;207360;04-06-2025;A
17188149;144000;04-06-2025;A
17188150;756000;04-06-2025;A
17187188;384000;04-06-2025;A
17187189;72000;04-06-2025;A
17187183;72000;04-06-2025;A
17187185;614400;04-06-2025;A
17187177;2720000;04-06-2025;A
17187178;3027200;04-06-2025;A
17187179;36000;04-06-2025;A
17187180;936000;04-06-2025;A
17187172;307200;04-06-2025;A
17187173;1200000;04-06-2025;A
17187174;192000;04-06-2025;A
17187175;563200;04-06-2025;A
17187176;180000;04-06-2025;A
17187171;12000;04-06-2025;A
